Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,critical_mineral,CategoryType
76 Aluminum And Articles Thereof,Taiwan,2022,310753795,309599621.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2015,200896348,199831867.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2018,2567895,2567895.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Japan,2023,203304719,197228014.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2014,482814097,481086799.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2022,9544684,9524554.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2018,279791056,279737862.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2019,294395388,294367037.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2006,346303386,346232617.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2015,630411,630411.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2006,116421043,116421043.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2019,854391082,855062934.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2015,613370944,613118646.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2025,17416813,17416813.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2003,74067595,73516122.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2025,595779558,604173756.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2020,207849523,207707386.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2025,3945779,2662177.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Hong Kong,2011,24612534,24518493.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2009,220935934,220502183.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2021,250300727,249568060.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2021,9766849,9769902.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2012,128341095,127770181.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2023,7838097,7881732.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2018,886118950,880655394.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Hong Kong,2021,18731854,18339467.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2016,112075753,112025263.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2015,527466,527466.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2003,186908337,186786192.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2004,8362804,8362804.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2018,18210215,18219431.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2001,197547604,,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2013,3992359,3061299.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2019,376247475,372550710.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2021,180308514,180379767.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2018,30971226,25322796.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2024,90990,90990.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2024,862607,862607.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2022,9884728,9880425.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2014,127370692,126794040.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2024,10993458,11163648.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2020,302659880,300563743.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2016,177828716,172356821.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Macau,2006,10498,10498.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2016,2700631,2700631.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2010,417038160,416311271.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2025,73163153,73116728.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2011,193660497,192930333.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2024,15147503,15136991.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2023,622068285,614619226.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2013,135758536,124714080.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Japan,2013,235305813,196227989.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Macau,2019,70462,70462.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Hong Kong,2007,33051815,33051815.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2005,312140902,312100819.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2015,43511578,43511578.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2015,211977464,211938559.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Hong Kong,2018,38490013,37698083.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2007,382540115,382437565.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2025,103980135,103073980.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2017,253645658,253737631.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2012,548783809,547647025.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2024,22819138,22819138.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2013,531477667,529581355.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2004,122256921,122227257.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2024,483487452,483344414.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Mongolia,2023,30948,30948.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2004,35426206,35411822.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2020,337213175,334596609.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2023,144547330,144338381.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2025,687881721,696710192.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2017,182569967,178107745.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2022,550309381,549844048.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2017,648416796,648388457.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2016,523805584,523877161.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Japan,2024,201534943,177778584.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2020,253019326,251832051.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2022,21289845,21268523.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2015,3479859,3396239.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2008,24157791,24157791.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2013,28989905,28969940.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Japan,2016,212775341,177844189.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2011,21152712,21152712.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2017,16020695517,15753111690.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2013,11648745756,11999292873.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Macau,2015,25137,25137.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2020,453544,453544.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2018,315194535,315327323.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2002,305234,305234.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2020,16462485,16462485.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2024,457366697,451255297.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2021,619186643,610846473.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2011,540276109,539106497.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2015,6600,6600.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2025,1094373,1094373.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2012,146032338,137321853.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2024,922503833,899834744.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Mongolia,2015,67412,67412.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2007,32619914,32626364.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Hong Kong,2019,31841365,31191538.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2016,2342920,2342920.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2020,792983527,790957639.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2022,195926147,196006535.0,76,Aluminum,Refined/Articles
80 Tin And Articles Thereof,Singapore,2008,15751102,15751102.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Taiwan,2025,859556,859556.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2008,343187,343187.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2022,875257,875257.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Singapore,2010,15861610,18213478.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Philippines,2017,257485,257485.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2002,343007,343007.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Singapore,2018,997380,997380.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Hong Kong,2002,2823588,2823588.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2016,129707157,129707157.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Philippines,2021,53750,53750.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Hong Kong,2018,2412647,2412647.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2011,106066499,106066499.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Philippines,2019,93482,93482.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2009,71358,71358.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Japan,2014,7349042,7349042.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2001,278379,,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Philippines,2025,11470,11470.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2024,1298432,1298432.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Japan,2016,4788782,4757980.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Japan,2013,6901664,6901664.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2010,645837,645837.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Mongolia,2001,2164,,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2012,92370470,89785010.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2025,432002,432002.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Japan,2006,4671952,8476811.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Taiwan,2013,901627,901627.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Hong Kong,2007,3489100,3276545.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Japan,2025,11897502,11962441.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Philippines,2007,557976,557976.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Thailand,2005,2518227,2518227.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Singapore,2001,760189,,80,Tin,Refined/Articles
80 Tin And Articles Thereof,"Korea, South",2020,709167,709167.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2004,508109,508109.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2006,1063337,1063337.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Thailand,2004,7280950,7280950.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Japan,2023,24104507,23977023.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Asia - South,2016,803932,803932.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2002,4674968,1810172.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2019,243605548,243605548.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2018,359137624,359311723.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2013,291099212,282846293.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Hong Kong,2004,1518645,1518645.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2012,236806719,234221259.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2014,309977179,321390736.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2010,37935048,37935048.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2013,678194063,673461839.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2015,469043956,471463673.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2020,445373544,448064615.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2024,86389369,86389369.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2021,378443020,368708700.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Taiwan,2010,1254031,1254031.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2011,818352140,824365064.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Hong Kong,2010,1098293,1098293.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2019,527816251,526326695.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Singapore,2007,26082892,26082892.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2017,577549757,576873032.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2012,678472606,675673675.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Hong Kong,2001,3302405,,80,Tin,Refined/Articles
80 Tin And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2018,611565949,611613421.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2008,30872360,30872360.0,80,Tin,Refined/Articles
80 Tin And Articles Thereof,Japan,2010,10860326,10860326.0,80,Tin,Refined/Articles
