Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),CategoryType
74 Copper And Articles Thereof,Indonesia,2006,11621339,11621339.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2006,11000,11000.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2002,4694735,4694735.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2009,442661,442661.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2002,67518,67518.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2001,42792916,,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2009,11420995,11420995.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2006,4095040,4095040.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2005,37364156,37364156.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2005,3132,3132.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2004,1130065,1130065.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2003,937573,937573.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2010,97763043,97763043.0,Refined/Articles
74 Copper And Articles Thereof,Laos,2006,2800,2800.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2009,5658733,5658733.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2010,10359914,10359914.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2007,123052282,113421675.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2005,55517851,53446653.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2010,36680768,36680768.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2009,10890765,10890765.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2001,85898,,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2010,184901104,184901104.0,Refined/Articles
74 Copper And Articles Thereof,Laos,2010,3995,3995.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2003,32912698,32851778.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2008,382210,382210.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2010,37935048,37935048.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2006,35126504,35126504.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2001,145191,,Refined/Articles
74 Copper And Articles Thereof,Singapore,2004,2970590,2165593.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2001,3328233,,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2007,1605002,1605002.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2008,7416,7416.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2002,2755196,2746209.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2010,2468496,2468496.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2007,26082892,26082892.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2010,4090217,4090217.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2003,1411799,1411799.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2009,1439437,1439437.0,Refined/Articles
