Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),CategoryType
80 Tin And Articles Thereof,Philippines,2020,113672,113672.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2016,83394791,83375954.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2015,20700926,20689610.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2017,10255163,10255163.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2014,9880673,9880673.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2012,4067668,4067668.0,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2018,11054708,11117429.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2012,233152926,232138784.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2014,203526,203526.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2014,1822107,978267.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2015,72033419,72033419.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2014,135209786,135209786.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2012,10738778,10738778.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2018,64051,59657.0,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2020,4702394,4702394.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2019,22902488,22902488.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2017,51058151,50816845.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2013,620167,620167.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2015,1737567,1737567.0,Refined/Articles
74 Copper And Articles Thereof,Burma,2017,5000,5000.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2012,436357,436357.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2020,145253491,148352793.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2013,3992359,3061299.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2019,187992369,187890436.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2012,51297348,51297348.0,Refined/Articles
74 Copper And Articles Thereof,Burma,2019,50553,50553.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2011,89641089,89641089.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2018,12287655,12287655.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2014,158557670,169971227.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2016,5938460,5938460.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2017,180457066,179437713.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2016,84213242,84285248.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2015,29500,29500.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2015,43511578,43511578.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2016,112075753,112025263.0,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2018,2567895,2567895.0,Refined/Articles
74 Copper And Articles Thereof,Brunei,2011,12067,12067.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2016,42739117,42726753.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2017,554274,554274.0,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2019,2502430,2502430.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2019,294395388,294367037.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2020,20031609,20031609.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2013,318066,318066.0,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2015,630411,630411.0,Refined/Articles
75 Nickel And Articles Thereof,Philippines,2016,3995,3995.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2018,150754539,150641203.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2018,16659434,16666333.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2015,4985,4985.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2020,207849523,207707386.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2013,2547926,2538322.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2012,39309945,39309945.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2015,211977464,211938559.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2015,23611,23611.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2020,2359360,2359360.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2018,53295024,53297789.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2020,240180,240180.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2014,25768,25768.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2015,29329316,29327043.0,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2016,2342920,2342920.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2011,21152712,21152712.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2018,164474,164474.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2015,3479859,3396239.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2012,8875765,8875765.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2020,14409790,14409790.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2017,253645658,253737631.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2013,9415626,9393552.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2017,118697731,118504475.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2018,179362,179362.0,Refined/Articles
75 Nickel And Articles Thereof,Philippines,2017,68252,68252.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2012,5741,5741.0,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2020,453544,453544.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2014,20218093,20218093.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2019,1414513,1414513.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2020,258844668,258590441.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2016,265719331,265859638.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2011,50699152,50606881.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2017,46077901,45958279.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2014,62896418,62839091.0,Refined/Articles
75 Nickel And Articles Thereof,Philippines,2019,16739,16739.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2017,827280,827280.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2014,11425072,11425072.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2015,269696297,269608310.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2012,96328694,96328694.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2018,9359550,9359550.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2019,12804465,12804465.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2011,103977109,103977109.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2013,178224040,178191656.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2016,129288990,128217745.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2012,1010828,952325.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2012,74862047,74862047.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2019,110009955,109739755.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2013,2340,2340.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2016,490437,490437.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2016,8635909,8635909.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2014,14920177,14920177.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2014,7845597,7845597.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2017,11814437,11814437.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2013,17064,17064.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2012,46642448,46645052.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2017,24014268,24017323.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2019,6252,6252.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2017,188634,188634.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2014,228703590,227933989.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2013,207037,207037.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2017,11219775,11219775.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2018,83963562,84213915.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2018,144365753,144148743.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2014,2335905,2335905.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2012,63892740,63780922.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2016,374006,374006.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2013,32817526,32804740.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2013,10182441,10182441.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2011,2230609,1924329.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2018,158505981,158505981.0,Refined/Articles
75 Nickel And Articles Thereof,Philippines,2018,61426,61426.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2011,70390740,70375659.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2020,111145441,111499081.0,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2016,1393229,1393229.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2014,53182291,53182291.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2015,5215232,5215232.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2011,17223609,17223609.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2016,991592,991592.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2018,189529248,189703347.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2011,7336595,7336595.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2014,40037976,40037976.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2012,9898532,9898532.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2013,7922250,7922250.0,Refined/Articles
74 Copper And Articles Thereof,Laos,2014,5040,5040.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2013,139014274,130761355.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2013,93523687,93523687.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2016,47900069,47900666.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2014,916649,916649.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2020,239568,239568.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2020,66611,57822.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2013,65608827,65580298.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2020,25217,25217.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2019,14399392,14399392.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2011,19097562,19066312.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2020,15211474,15211474.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2016,7865411,7865411.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2013,21970013,21970013.0,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2017,2934466,2934466.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2014,94769,94769.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2018,9279414,9279414.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2014,165670265,165578348.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2019,177560169,177246945.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2016,11102371,11102371.0,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2017,2701238,2927700.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2015,12791667,12791667.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2012,89752,89752.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2015,46445339,46311946.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2017,146826602,146826602.0,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2020,8514931,8514931.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2019,22105986,22142448.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2019,1578023,1642964.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2017,209466628,209381606.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2011,60658903,60658903.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2015,7846457,7846457.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2011,253435577,253425930.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2015,52869291,52866645.0,Refined/Articles
74 Copper And Articles Thereof,Burma,2014,77111,77111.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2013,55613693,55613693.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2019,17214838,17214838.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2015,1643764,1643764.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2015,167610935,169225549.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2019,6356757,6356757.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2012,6955,6955.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2012,128115,128115.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2016,30389,30389.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2018,1514051,1514051.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2014,42200138,42180720.0,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2019,8888028,9372313.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2015,62840343,62809873.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2011,8530429,8530429.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2015,1116562,1116562.0,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2015,6600,6600.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2019,12573780,12573780.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2020,3509506,3509506.0,Refined/Articles
74 Copper And Articles Thereof,Burma,2020,13740,5061.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2020,337213175,334596609.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2020,16462485,16462485.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2020,64454505,64454505.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2016,7922,7922.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2012,8538588,8538588.0,Refined/Articles
76 Aluminum And Articles Thereof,Burma,2015,527466,527466.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2011,193660497,192930333.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2016,2700631,2700631.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2014,1312205,1312205.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2014,7243951,7243951.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2018,18210215,18219431.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2018,997380,997380.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2018,30971226,25322796.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2020,9574606,9574606.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2019,67787,61194.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2018,26339779,26336075.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2011,206251,206251.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2017,257485,257485.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2018,279791056,279737862.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2019,50868943,50912921.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2019,93482,93482.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2012,92370470,89785010.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2013,28989905,28969940.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2017,11018883,11018883.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2019,8900,8900.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2020,78699291,78702998.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2018,315194535,315327323.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2013,43840311,43840311.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2016,129707157,129707157.0,Refined/Articles
75 Nickel And Articles Thereof,Philippines,2020,163684,163684.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2013,12351442,12351442.0,Refined/Articles
75 Nickel And Articles Thereof,Cambodia,2019,8719,8719.0,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2014,3296,3296.0,Refined/Articles
74 Copper And Articles Thereof,Burma,2015,5100,5100.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2020,1536070,1529237.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2019,12109167,12109167.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2017,27907,27907.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2012,14877861,14877861.0,Refined/Articles
74 Copper And Articles Thereof,Burma,2016,2717,2717.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2011,11110298,11110298.0,Refined/Articles
74 Copper And Articles Thereof,Brunei,2018,7560,7560.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2018,20588,20588.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2011,997536,997536.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2017,12137661,12137661.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2012,761203,761203.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2013,47542002,47542002.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2011,106066499,106066499.0,Refined/Articles
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2013,189138,189138.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Cambodia,2017,5684,5684.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Thailand,2013,181488,181488.0,Other
"3910 Silicones, In Primary Forms",Singapore,2017,11331,11331.0,Other
2614 Titanium Ores And Concentrates,Malaysia,2019,82922,82922.0,Ore/Raw
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2011,11768,11768.0,Compound
"3910 Silicones, In Primary Forms",Thailand,2015,10442795,14400712.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2020,324953,324953.0,Other
"3910 Silicones, In Primary Forms",Philippines,2015,591,591.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2013,95864,95864.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2011,181641,181641.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2012,247836,247836.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Malaysia,2020,5174,5174.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2016,47420,47420.0,Refined/Articles
"3910 Silicones, In Primary Forms",Indonesia,2013,1218,1218.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2015,237714,237714.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2012,200190,200190.0,Refined/Articles
"3910 Silicones, In Primary Forms",Indonesia,2019,781682,781682.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2012,595762,595762.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Vietnam,2016,41371,41371.0,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,2019,3600,3600.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2015,9242589,9242589.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Vietnam,2015,27541,27541.0,Other
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Singapore,2020,73225,73225.0,Other
"3910 Silicones, In Primary Forms",Singapore,2020,29451,29451.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2017,131284,131284.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2011,411227,411227.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2013,447374,447374.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2020,135903416,135903416.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2016,69268,69268.0,Refined/Articles
8110 Antimony And Artcls Throf Incl Waste And Scrap,Thailand,2020,222282,222282.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Vietnam,2017,49633,49633.0,Refined/Articles
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Malaysia,2017,3646,3646.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2012,188785,188785.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Vietnam,2014,84897,84897.0,Refined/Articles
2504 Natural Graphite,Singapore,2018,2700,2700.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2018,6276590,6276590.0,Refined/Articles
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2013,126200,126200.0,Compound
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2012,321240,321240.0,Refined/Articles
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2018,630125,630125.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2017,19125,19125.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2011,173010,173010.0,Refined/Articles
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,2014,65382,65382.0,Other
"3910 Silicones, In Primary Forms",Thailand,2019,29571850,29571850.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2019,35131,35131.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2018,18902,18902.0,Refined/Articles
2603 Copper Ores And Concentrates,Singapore,2019,2556,2556.0,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2013,4199629,4199629.0,Ore/Raw
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2018,6530,6530.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2011,220573,220573.0,Refined/Articles
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2020,2239375,2239375.0,Other
"3910 Silicones, In Primary Forms",Singapore,2016,672,672.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2011,22719,22719.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Philippines,2018,16848,16848.0,Refined/Articles
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Laos,2013,107300,107300.0,Compound
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Vietnam,2016,6822,6822.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2013,37375836,37375836.0,Other
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Indonesia,2016,99267,99267.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2019,89125,89125.0,Refined/Articles
8110 Antimony And Artcls Throf Incl Waste And Scrap,Burma,2018,1046022,1046022.0,Other
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Thailand,2014,117397,117397.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2012,15818,15818.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2013,22606,22606.0,Refined/Articles
2820 Manganese Oxides,Singapore,2011,310080,310080.0,Compound
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Vietnam,2018,49070,49070.0,Other
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Malaysia,2020,36790,36790.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2017,51672,51672.0,Refined/Articles
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,2018,7377,7377.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2013,104843,104843.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2017,467786,467786.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2015,66397,66397.0,Refined/Articles
"3910 Silicones, In Primary Forms",Philippines,2018,3293,3293.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2013,117204,117204.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Burma,2019,3379661,3379661.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Vietnam,2017,46724,46724.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2016,20455,20455.0,Refined/Articles
2820 Manganese Oxides,Singapore,2016,152760,152760.0,Compound
"3910 Silicones, In Primary Forms",Singapore,2015,122015,122015.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2013,16576,16576.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2018,77030,77030.0,Refined/Articles
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2019,4528969,4528969.0,Compound
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2012,4582650,4582650.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Indonesia,2011,19000,19000.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2015,1582754,1582754.0,Other
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Thailand,2013,1754337,1754337.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Vietnam,2015,2133,2133.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2011,354417,354417.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Vietnam,2017,1021774,457518.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2019,263986,263986.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2020,1510456,1510456.0,Other
2820 Manganese Oxides,Singapore,2014,303525,303525.0,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,2011,11400,11400.0,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2016,819600,819600.0,Compound
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2018,546545,546545.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2014,178338,178338.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2016,786893,786893.0,Other
