Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,CategoryType
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2009,105249486,214845.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2025,322975,322975.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2010,80441664,1817664.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2025,17013,17013.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2023,34636986,34636986.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2022,10170,10170.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2006,187096,187096.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2007,16300100,184973.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Singapore,2019,2556,2556.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2002,102910565,102910565.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2003,18029784,18029784.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Asia - South,2022,185305,185305.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2005,460051,460051.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2022,122490327,122490327.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2008,103660114,1225503.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Asia - South,2016,6560,6560.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2018,139043852,89795852.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2002,82000,82000.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2013,84116515,18092515.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2019,153002522,148466522.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Indonesia,2001,14201112,,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2016,145287048,207048.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2015,74334105,1254105.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2020,42530096,8186096.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2014,88247236,515236.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2012,99182726,29522726.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2019,2556,2556.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2015,174400,174400.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2017,95273559,25721559.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2011,226228582,143332582.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Indonesia,2002,5723332,5723332.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,"Korea, South",2025,4613,4613.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2021,49343,49343.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2023,4724,4724.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2025,208998,208998.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Indonesia,2016,43973,43973.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2023,9690,9690.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2016,43973,43973.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Indonesia,2015,174400,174400.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2001,14201112,,2603,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2021,11250,11250.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2024,10080,10080.0,2603,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2013,6088,6088.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2025,136168,136168.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2024,73394,73394.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Hong Kong,2019,5820,5820.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2017,48482,48482.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2006,2904,2904.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Singapore,2025,2145,2145.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2005,2700,2700.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2002,5608,5608.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2016,21476,21476.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2018,6020,6020.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2014,242191,242191.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Thailand,2013,3245,3245.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2001,27827,,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Taiwan,2023,7708,7708.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2018,114439,114439.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Indonesia,2002,3200,3200.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,"Korea, South",2014,13287,13287.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Asia - South,2016,6921,6921.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Asia - South,2012,2322,2322.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2023,21819,21819.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2021,86992,86992.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2017,8896,8896.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Hong Kong,2015,2820,2820.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2016,5615,5615.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2002,3200,3200.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2025,2145,2145.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2008,13023,13023.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2015,14775,14775.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2013,3245,3245.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2020,349150,349150.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2008,30558,30558.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2016,2313,2313.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2012,13373,13373.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2003,84810,84810.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Thailand,2016,5615,5615.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Thailand,2015,14775,14775.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Taiwan,2017,6944,6944.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2019,58077,58077.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2015,122861,122861.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2022,101622,101622.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2015,42816,42816.0,2604,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2010,169800,169800.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2021,356450,356450.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,Taiwan,2007,1092000,1092000.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2022,954846,954846.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2017,196240,196240.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2023,151300,151300.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2007,13488480,13488480.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2001,195000,,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,"Korea, South",2019,89622,89622.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2016,401872,401872.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2014,247149,247149.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2024,88900,88900.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2012,692673,692673.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2004,11095,11095.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,Taiwan,2018,509275,509275.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2015,176763,176763.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2008,1357200,1357200.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2003,6991,6991.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2005,3139029,3139029.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2017,119440,119440.0,2605,Ore/Raw
