Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Card Count,Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Customs Unit Value (Gen),Customs Unit Value (Cons)
76 Aluminum And Articles Thereof,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,3945779,2662177.0,,,,,284.0,2265712.0,4085650.0,2801918.0,409288.0,,
76 Aluminum And Articles Thereof,Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2021,250300727,249568060.0,,,,,14832.0,245280772.0,269030215.0,268291120.0,12800205.0,,
75 Nickel And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,6191,6191.0,,,,,1.0,6191.0,6262.0,6262.0,806.0,,
75 Nickel And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2022,11834,11834.0,,,,,2.0,11834.0,12934.0,12934.0,355.0,,
76 Aluminum And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2021,9766849,9769902.0,,,,,328.0,4183635.0,11399384.0,11402477.0,230857.0,,
76 Aluminum And Articles Thereof,Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,103980135,103073980.0,,,,,6339.0,101470225.0,109340918.0,108418869.0,16952432.0,,
74 Copper And Articles Thereof,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,25377765,25376605.0,,,,,457.0,815852.0,27108984.0,27107809.0,22812.0,,
75 Nickel And Articles Thereof,Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2023,50990996,54980610.0,,,,,2476.0,52163937.0,51650074.0,57224800.0,1552686.0,,
75 Nickel And Articles Thereof,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,1951538,1900634.0,,,,,52.0,1591994.0,1969992.0,1918426.0,42680.0,,
80 Tin And Articles Thereof,Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,859556,859556.0,,,,,20.0,63662.0,878441.0,878441.0,3181.0,,
76 Aluminum And Articles Thereof,"Korea, South",All Country Subcodes,All Rate Provisions,All Districts,2021,456384428,444278818.0,,,,,9182.0,121500649.0,490965757.0,478799836.0,10824734.0,,
76 Aluminum And Articles Thereof,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2021,317950952,317017489.0,,,,,12975.0,314033664.0,341596574.0,340644276.0,12180001.0,,
80 Tin And Articles Thereof,Japan,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,11897502,11962441.0,,,,,182.0,10706259.0,11973317.0,12045209.0,421781.0,,
74 Copper And Articles Thereof,Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2021,2091315,2109287.0,,,,,103.0,1922915.0,2310716.0,2329147.0,40604.0,,
74 Copper And Articles Thereof,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2024,129363837,128142078.0,,,,,2771.0,119555691.0,132746699.0,131527986.0,3397495.0,,
75 Nickel And Articles Thereof,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,10088189,10088189.0,,,,,191.0,1705680.0,10307591.0,10307591.0,50816.0,,
76 Aluminum And Articles Thereof,Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2022,35427276,35412225.0,,,,,1364.0,35324281.0,38399261.0,38275958.0,4237800.0,,
76 Aluminum And Articles Thereof,"Korea, South",All Country Subcodes,All Rate Provisions,All Districts,2022,970970438,961507126.0,,,,,9697.0,332392688.0,1026017254.0,1015831654.0,30430780.0,,
76 Aluminum And Articles Thereof,Brunei,All Country Subcodes,All Rate Provisions,All Districts,2022,3631,3631.0,,,,,1.0,3631.0,10492.0,10492.0,207.0,,
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,All Country Subcodes,All Rate Provisions,All Districts,2021,69559587,69559587.0,,,,,3454.0,52307211.0,70820338.0,70820338.0,12360314.0,,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Japan,All Country Subcodes,All Rate Provisions,All Districts,2024,369983837,369983837.0,,,,,1337.0,343552625.0,381149188.0,381149188.0,51115551.0,,
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,7537505,7541255.0,,,,,82.0,2682263.0,7628542.0,7633692.0,220105.0,,
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2022,250577,250577.0,,,,,19.0,47954.0,264104.0,264104.0,1944.0,,
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2022,239992,239992.0,,,,,16.0,239992.0,243123.0,243123.0,8878.0,,
"3910 Silicones, In Primary Forms",Cambodia,All Country Subcodes,All Rate Provisions,All Districts,2024,838,838.0,,,,,1.0,838.0,864.0,864.0,25.0,,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2023,12042209,12141796.0,,,,,345.0,9885927.0,12323852.0,12417591.0,960191.0,,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2021,3831592,4227165.0,,,,,268.0,3443443.0,3940360.0,4331475.0,368934.0,,
"3910 Silicones, In Primary Forms",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,7999,7999.0,,,,,5.0,7999.0,8005.0,8005.0,240.0,,
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,10512,10512.0,,,,,1.0,10512.0,11563.0,11563.0,389.0,,
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",All Country Subcodes,All Rate Provisions,All Districts,2025 through June,197685,197685.0,,,,,6.0,17411.0,227018.0,227018.0,1741.0,,
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2024,350000,350000.0,,,,,1.0,0.0,350500.0,350500.0,0.0,,
8110 Antimony And Artcls Throf Incl Waste And Scrap,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2021,233856,233856.0,,,,,1.0,0.0,243856.0,243856.0,0.0,,
"3910 Silicones, In Primary Forms",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,63637,63637.0,,,,,7.0,63637.0,68669.0,68669.0,1910.0,,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Japan,All Country Subcodes,All Rate Provisions,All Districts,2021,148571413,148571413.0,,,,,932.0,144515162.0,155893370.0,155893370.0,21445529.0,,
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,All Country Subcodes,All Rate Provisions,All Districts,2022,57996601,58203034.0,,,,,1082.0,6921012.0,60114644.0,60287078.0,1196389.0,,
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2021,31368505,31368505.0,,,,,18.0,0.0,31453876.0,31453876.0,0.0,,
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2021,314816,314816.0,,,,,5.0,191441.0,318768.0,318768.0,41861.0,,
2820 Manganese Oxides,"Korea, South",All Country Subcodes,All Rate Provisions,All Districts,2025 through June,642122,642122.0,,,,,9.0,43840.0,763697.0,763697.0,4384.0,,
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,All Country Subcodes,All Rate Provisions,All Districts,2021,27234139,27234139.0,,,,,281.0,25033375.0,30798602.0,30798602.0,1270675.0,,
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",All Country Subcodes,All Rate Provisions,All Districts,2021,117937707,114253979.0,,,,,273.0,0.0,124250211.0,120333934.0,0.0,,
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,All Country Subcodes,All Rate Provisions,All Districts,2023,5102171,5102171.0,,,,,48.0,5102171.0,5110362.0,5110362.0,705865.0,,
2820 Manganese Oxides,Japan,All Country Subcodes,All Rate Provisions,All Districts,2021,6859578,6859578.0,,,,,122.0,6859578.0,7746099.0,7746099.0,322395.0,,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2024,53980,53980.0,,,,,3.0,53980.0,55580.0,55580.0,4970.0,,
2820 Manganese Oxides,Japan,All Country Subcodes,All Rate Provisions,All Districts,2022,6140364,6140364.0,,,,,101.0,6140364.0,7156793.0,7156793.0,288584.0,,
"3910 Silicones, In Primary Forms",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2023,62938,62938.0,,,,,10.0,52114.0,67840.0,67840.0,1564.0,,
2603 Copper Ores And Concentrates,Japan,All Country Subcodes,All Rate Provisions,All Districts,2024,10080,10080.0,,,,,2.0,10080.0,10082.0,10082.0,0.0,,
2820 Manganese Oxides,Japan,All Country Subcodes,All Rate Provisions,All Districts,2023,944744,944744.0,,,,,23.0,944744.0,1037289.0,1037289.0,44396.0,,
2603 Copper Ores And Concentrates,Japan,All Country Subcodes,All Rate Provisions,All Districts,2021,11250,11250.0,,,,,3.0,11250.0,13070.0,13070.0,0.0,,
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South",All Country Subcodes,All Rate Provisions,All Districts,2022,308822017,308822017.0,,,,,57.0,0.0,308854204.0,308854204.0,0.0,,
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2022,18500900,18500900.0,,,,,6.0,0.0,18500944.0,18500944.0,0.0,,
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,All Country Subcodes,All Rate Provisions,All Districts,2023,60391074,60391074.0,,,,,1080.0,9088258.0,61733751.0,61733751.0,2082855.0,,
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2024,2476836,2308187.0,,,,,32.0,2308187.0,2544849.0,2398757.0,323147.0,,
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,All Country Subcodes,All Rate Provisions,All Districts,2021,3617372,3617372.0,,,,,64.0,3576272.0,3623375.0,3623375.0,497279.0,,
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,236726,236726.0,,,,,9.0,7115.0,239227.0,239227.0,284.0,,
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,All Country Subcodes,All Rate Provisions,All Districts,2022,53507215,44982328.0,,,,,348.0,3298970.0,58850267.0,49855019.0,824750.0,,
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Korea, South",All Country Subcodes,All Rate Provisions,All Districts,2025 through June,4132,4132.0,,,,,1.0,4132.0,4133.0,4133.0,566.0,,
2603 Copper Ores And Concentrates,Japan,All Country Subcodes,All Rate Provisions,All Districts,2023,9690,9690.0,,,,,2.0,9690.0,9692.0,9692.0,0.0,,
"3910 Silicones, In Primary Forms",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2021,516183,516183.0,,,,,30.0,516183.0,525662.0,525662.0,15487.0,,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2024,6976636,7302416.0,,,,,302.0,6021700.0,7120896.0,7449362.0,522774.0,,
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,3114165,3114165.0,,,,,11.0,3114165.0,3115375.0,3115375.0,435984.0,,
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2022,252093,252093.0,,,,,5.0,21206.0,254845.0,254845.0,784.0,,
"3910 Silicones, In Primary Forms",Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2023,196134,196134.0,,,,,15.0,196134.0,208309.0,208309.0,5881.0,,
