Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","18731854","18339467","18321547","20317498","19842527","1991653","","","","","","","1295"
"76 Aluminum And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","17416813","17416813","8165442","19236853","19236853","1495420","","","","","","","863"
"80 Tin And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","36078607","36078607","298071","36582648","36582648","6943","","","","","","","66"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","595779558","604173756","497711615","620526023","629153411","114517985","","","","","","","6634"
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2022","31498910","31498910","6756642","33181868","33181868","192450","","","","","","","1545"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","594568582","593123683","25331270","604816975","603381000","506258","","","","","","","14714"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","11407128","11407128","1117688","11492763","11492763","30888","","","","","","","59"
"76 Aluminum And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2023","7838097","7881732","1080741","8191121","8235322","28138","","","","","","","1393"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2022","117876","117876","13276","131875","131875","355","","","","","","","9"
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","5478","5478","5478","5593","5593","131","","","","","","","1"
"76 Aluminum And Articles Thereof","Brunei","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1094373","1094373","1094373","1265486","1265486","173279","","","","","","","14"
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","12054303","12054303","11776991","12135451","12135451","353303","","","","","","","224"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2022","13766570","13766570","3365319","13891480","13891480","94063","","","","","","","56"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","4568404","4568404","4346272","4836885","4836885","103236","","","","","","","139"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2021","250398216","240663896","0","253274326","243520157","0","","","","","","","150"
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","413983","413983","413983","529427","529427","8695","","","","","","","23"
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","483487452","483344414","482164179","509385728","509239947","21477293","","","","","","","18639"
"76 Aluminum And Articles Thereof","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2023","30948","30948","0","31098","31098","0","","","","","","","1"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","592306181","591122722","30398715","609902455","608683376","651353","","","","","","","6263"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","1136952","1136952","23303","1169914","1169914","601","","","","","","","26"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","144547330","144338381","42828266","152716949","152484960","3167763","","","","","","","3298"
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2021","17378","17378","11481","18921","18921","172","","","","","","","3"
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","550309381","549844048","547351109","586306006","585835512","23130864","","","","","","","18423"
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","145589592","149050603","105800272","147550505","151161291","3026233","","","","","","","1527"
"74 Copper And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2023","3000","3000","3000","3450","3450","66","","","","","","","1"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","21289845","21268523","12202153","24028204","24006890","690160","","","","","","","868"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","936081","936081","0","977056","977056","0","","","","","","","34"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","922503833","899834744","384852013","976056187","952323761","37823518","","","","","","","13526"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1864313","1732295","1732295","1950410","1818392","404847","","","","","","","71"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","11063676","11063676","54860","11154371","11154371","1798","","","","","","","31"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","457366697","451255297","431517091","482330713","476123146","27078032","","","","","","","6820"
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","40572","40572","40572","43751","43751","2932","","","","","","","2"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","2458492","2458492","7100","2497110","2497110","199","","","","","","","36"
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2021","17701","17701","17701","19001","19001","490","","","","","","","2"
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2024","39572","37466","0","40152","38045","0","","","","","","","11"
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","221634852","221474161","216929359","230229972","230068277","11664206","","","","","","","11183"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2023","37146","37146","0","41139","41139","0","","","","","","","2"
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","239004848","239199610","235654992","252275130","252471952","51398082","","","","","","","9732"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2022","880145630","854915388","808774127","957048576","929622825","38519887","","","","","","","9544"
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","212525150","215004538","142940243","214618009","218660993","3978888","","","","","","","1600"
"75 Nickel And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2022","5869","5869","0","6293","6293","0","","","","","","","1"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2022","196109070","196062370","51230867","227128020","227080713","4403629","","","","","","","3735"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","65694824","65698729","63042798","70191201","70195172","1010282","","","","","","","874"
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","18547049","18549499","1297236","20146613","20149064","36938","","","","","","","514"
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","11400701","11400701","5111859","11654906","11654906","167137","","","","","","","520"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2023","246780","242385","191941","251282","246802","5759","","","","","","","14"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2021","86305703","86113519","75143800","89063915","88871748","2180313","","","","","","","2242"
"76 Aluminum And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","27196","27196","27196","30969","30969","3998","","","","","","","4"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","18691163","18673337","9523945","20315562","20297736","484803","","","","","","","675"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","25727809","25226261","21481986","26063138","25563240","615428","","","","","","","454"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","132799273","132781118","130368879","135271992","135253505","1497983","","","","","","","952"
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","9407841","6294002","0","9457663","6330270","0","","","","","","","4"
"76 Aluminum And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2022","7627888","7627888","2470313","8291893","8291893","187851","","","","","","","60"
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","78571412","87846865","66752334","79897749","89831096","1881405","","","","","","","1252"
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","134399916","134381419","134266932","144807427","144790010","12499691","","","","","","","3397"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","89598767","86796459","0","90256510","87433202","0","","","","","","","89"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2024","2603","2603","0","2919","2919","0","","","","","","","1"
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","10211752","10211752","4583734","10434641","10434641","137509","","","","","","","122"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","59546779","59559433","2553638","59969938","59982516","75008","","","","","","","340"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2024","1130527","1132773","765708","1225401","1227690","18236","","","","","","","83"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2024","1595110","1595110","1404450","1702083","1702083","35746","","","","","","","89"
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","19865124","19865124","5844061","20318691","20318691","174879","","","","","","","828"
"76 Aluminum And Articles Thereof","Brunei","All Country Subcodes","All Rate Provisions","All Districts","2021","2024858","2024858","2024858","2403303","2403303","117145","","","","","","","25"
