Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US)
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2017,60976,60976.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2014,5938,5938.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2011,341387,341387.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2017,7327440,7327440.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2011,44295,44295.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2013,244718,244718.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2012,652759,652759.0
2820 Manganese Oxides,Japan,2018,11191155,11191155.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Thailand,2018,3171774,3171774.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Indonesia,2016,48863,48863.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2016,22948716,22948716.0
"3910 Silicones, In Primary Forms","Korea, South",2015,9762605,9271154.0
2504 Natural Graphite,Vietnam,2019,19775,19775.0
2504 Natural Graphite,Taiwan,2015,7823,7823.0
2605 Cobalt Ores And Concentrates,"Korea, South",2019,89622,89622.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2019,111397458,109115762.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2020,1392760,1392760.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2018,74209,74209.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2014,181385,181385.0
2820 Manganese Oxides,Japan,2016,10894431,10894431.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2013,2474047,1364416.0
2820 Manganese Oxides,"Korea, South",2015,3808823,3808823.0
"3910 Silicones, In Primary Forms",Vietnam,2018,355185,355185.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2018,145019,145019.0
"3910 Silicones, In Primary Forms",Thailand,2012,19575870,19575870.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2016,72707,72707.0
2504 Natural Graphite,Taiwan,2019,12396,12396.0
2504 Natural Graphite,Hong Kong,2020,290400,290400.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Hong Kong,2015,20344,20344.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,2020,17000,17000.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2017,9000,9000.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2015,1714883,1714883.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South",2013,91454708,91454708.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2018,307256,307256.0
2820 Manganese Oxides,"Korea, South",2014,3452412,3452412.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2017,9033013,1342195.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2011,1841569,1841569.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Vietnam,2011,34807500,3270000.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2020,582264,582264.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Hong Kong,2016,96087,96087.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Hong Kong,2016,50882,50882.0
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2014,729890,729890.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2020,2182413,2182413.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2020,5866934,5866934.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,"Korea, South",2017,703212,703212.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2017,2151049,2151049.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2017,39113,39113.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2016,1461932,1461932.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,"Korea, South",2018,587236,573570.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2011,9364,9364.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Indonesia,2012,3086,3086.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2015,2529,2529.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2019,937655,937655.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2014,54245,54245.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2011,9860661,9860661.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2019,84170895,84170895.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2019,42966,42966.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2013,3863213,3863213.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2013,26401,26401.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South",2018,21324914,21324914.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,2011,2556358,2556358.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2018,24055791,23506259.0
"3910 Silicones, In Primary Forms","Korea, South",2016,11178946,11681539.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2018,88132473,88078596.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,"Korea, South",2014,312001,312001.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2012,593833,593833.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2017,2547460,2547460.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2016,11643878,11643878.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,2016,139525230,139524732.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2018,1276851,1225464.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2020,1277447,1277447.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Indonesia,2015,10200,10200.0
"3910 Silicones, In Primary Forms",Hong Kong,2013,3754,3754.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,2015,50756663,50756663.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Thailand,2011,68000,68000.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2013,856050,856050.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Vietnam,2013,483650,483650.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2013,2375751,2375751.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2011,135413,135413.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2012,190431,190431.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2011,64370133,64370133.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2014,1153524,1153524.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Indonesia,2013,76222,76222.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Burma,2020,9565020,9299049.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Cambodia,2012,2305,2305.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Japan,2011,11715195,11719095.0
"3910 Silicones, In Primary Forms",Malaysia,2019,774544,774544.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2018,30968252,30968252.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2018,60737,60737.0
2614 Titanium Ores And Concentrates,Malaysia,2015,2815171,2815171.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Thailand,2020,155120,155120.0
"3910 Silicones, In Primary Forms",Singapore,2012,1004,1004.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2012,2251680,2251680.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Hong Kong,2014,731280,731280.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2013,19684,19684.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2020,32034,32034.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2012,20025993,20025993.0
"3910 Silicones, In Primary Forms",Vietnam,2017,18270,18270.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2011,62549,62549.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Singapore,2019,190247,190247.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2012,66234,66234.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2016,1558604,1558604.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2013,96370663,95134051.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2011,3068804,3068804.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Thailand,2015,623613,623613.0
"3910 Silicones, In Primary Forms",Taiwan,2019,2681001,2681001.0
2614 Titanium Ores And Concentrates,Malaysia,2017,1931497,1931497.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Hong Kong,2018,172260,262980.0
"3910 Silicones, In Primary Forms",Malaysia,2014,2989,2989.0
2820 Manganese Oxides,Japan,2017,14804187,14804187.0
2614 Titanium Ores And Concentrates,Malaysia,2012,1752377,1752377.0
"3910 Silicones, In Primary Forms",Philippines,2019,2669,2669.0
"3910 Silicones, In Primary Forms",Singapore,2011,29675,29675.0
"3910 Silicones, In Primary Forms",Thailand,2016,10979450,10979450.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2018,56927,56927.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2017,3724929,3724929.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,2013,15000,15000.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2014,3010006,967238.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2012,946029,946029.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2013,380953,380953.0
"3910 Silicones, In Primary Forms",Indonesia,2014,583,583.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South",2020,90811221,90811221.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2019,6185202,6185202.0
2820 Manganese Oxides,"Korea, South",2018,9493803,9493803.0
"3910 Silicones, In Primary Forms","Korea, South",2017,14056014,14069545.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2016,32502860,17905757.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2014,1140653,1140653.0
2504 Natural Graphite,Hong Kong,2011,45440,45440.0
"3910 Silicones, In Primary Forms",Japan,2020,115595525,114218868.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,"Korea, South",2020,14688,14688.0
"3910 Silicones, In Primary Forms",Singapore,2014,22245,22245.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2016,13489151,13489151.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2011,7456998,7456998.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2020,81051736,83353400.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2015,4817551,4817551.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2015,19059775,19059775.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2020,30536429,30536429.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2017,18691,18691.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Thailand,2012,18467,18467.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Laos,2014,19912,19912.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Taiwan,2016,4448949,4448949.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2015,5580,5580.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Laos,2014,38432,38432.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2014,2039270,2039270.0
2614 Titanium Ores And Concentrates,Malaysia,2016,3738504,3738504.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Taiwan,2012,4316,4316.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2020,205489,205489.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,2018,60000,60000.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2014,2854857,2854857.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Taiwan,2016,16800,16800.0
"3910 Silicones, In Primary Forms",Thailand,2018,24412145,26046847.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Taiwan,2017,263919,263919.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Taiwan,2012,159870,159870.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2018,494824,494824.0
2820 Manganese Oxides,Japan,2013,14564232,14564232.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2019,28188,28188.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2014,31760,31760.0
"3910 Silicones, In Primary Forms",Singapore,2019,68363,68363.0
"3910 Silicones, In Primary Forms",Malaysia,2011,78629,78629.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2019,31167,31167.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Laos,2013,369601,369601.0
"3910 Silicones, In Primary Forms",Indonesia,2016,18842,18842.0
2504 Natural Graphite,Hong Kong,2016,168782,168782.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,2014,26137608,26137126.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2013,187527,187527.0
"3910 Silicones, In Primary Forms",Thailand,2014,14157879,23488947.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2019,97653117,97602745.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2017,11879412,11879412.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,2019,86400,86400.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2011,39640864,39640864.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2020,109362,109362.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2020,302482,302482.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2016,5038779,5038779.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2017,40995680,40995680.0
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2020,1175660,1175660.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2019,30760316,30679846.0
"3910 Silicones, In Primary Forms",Vietnam,2013,30107,30107.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2020,179753,179753.0
2604 Nickel Ores And Concentrates,Thailand,2015,14775,14775.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2017,63934,63934.0
2605 Cobalt Ores And Concentrates,Japan,2017,119440,119440.0
"3910 Silicones, In Primary Forms",Thailand,2020,22897364,22897364.0
"3910 Silicones, In Primary Forms",Thailand,2013,13730672,13730672.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Korea, South",2019,51000,51000.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2016,10963589,1085375.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2018,5306194,5306194.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2017,336441,336441.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2015,35851572,35851572.0
"3910 Silicones, In Primary Forms",Malaysia,2015,26526,26526.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Laos,2016,56443,56443.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Hong Kong,2020,13888,13888.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2017,590678,590678.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2017,119189167,119189167.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Hong Kong,2017,706138,706138.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2018,8920,8920.0
2604 Nickel Ores And Concentrates,Thailand,2016,5615,5615.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2018,6050512,6050512.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2016,34475,34475.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2014,13805,13805.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2019,2483507,2483507.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2018,3547685,3547685.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2018,1899838,1899838.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2017,433888,433888.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Korea, South",2014,4962444,4962444.0
"3910 Silicones, In Primary Forms",Indonesia,2012,2380,2380.0
"3910 Silicones, In Primary Forms","Korea, South",2013,16969028,16447070.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2020,6380563,6380563.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,2019,905988,905988.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2014,21476977,21476977.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2019,1344618,1344618.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2016,12997675,12997675.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2016,1683277,1683277.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2011,15743,15743.0
"3910 Silicones, In Primary Forms",Taiwan,2016,2175716,2175716.0
"3910 Silicones, In Primary Forms",Indonesia,2011,111600,111600.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South",2012,64007499,64007499.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Indonesia,2014,9723,9723.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2019,3179861,3179861.0
2504 Natural Graphite,Japan,2016,3771859,3771859.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2014,484920,484920.0
"3910 Silicones, In Primary Forms",Japan,2015,118348453,113879780.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2017,383132,383132.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2016,272824,272824.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2014,610891,610891.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2015,757975,657146.0
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2012,760165,760165.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Hong Kong,2013,9819,9819.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Vietnam,2014,8987,8987.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Japan,2014,188840033,188840033.0
2504 Natural Graphite,"Korea, South",2014,19200,19200.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2019,152371,152371.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South",2019,121545,121545.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2011,101277629,86827467.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Vietnam,2019,13560,13560.0
2820 Manganese Oxides,Singapore,2013,317693,317693.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2011,8023,8023.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2015,218874,218874.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2015,17028,17028.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Vietnam,2016,3058,3058.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2017,5178086,5178086.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2016,54801,54801.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Hong Kong,2018,314596,314596.0
"3910 Silicones, In Primary Forms",Thailand,2011,21269583,21709919.0
2614 Titanium Ores And Concentrates,Malaysia,2011,6831832,6831832.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2018,31841,31841.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2016,460252,460252.0
"3910 Silicones, In Primary Forms",Taiwan,2011,1178642,1178642.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Malaysia,2018,3038,3038.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2018,5435922,5435922.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Hong Kong,2011,810594,810594.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Hong Kong,2015,334327,334327.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2019,10629796,10629796.0
"3910 Silicones, In Primary Forms",Thailand,2017,18242779,18311504.0
"3910 Silicones, In Primary Forms",Hong Kong,2018,12656,12656.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2019,4856605,4856605.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,"Korea, South",2018,147694,147694.0
2606 Aluminum Ores And Concentrates,Singapore,2012,578699,578699.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2015,499787,499787.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Hong Kong,2016,9973,9973.0
2604 Nickel Ores And Concentrates,Japan,2015,42816,42816.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2011,9750809,9750809.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,2020,4495,4495.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2017,579985,579985.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2011,90478759,90543918.0
2605 Cobalt Ores And Concentrates,Japan,2016,401872,401872.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2013,20880097,20880097.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Hong Kong,2014,1200059,1200059.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,"Korea, South",2020,666145,666145.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2017,22170017,20271233.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2019,158720,158720.0
2820 Manganese Oxides,"Korea, South",2011,225600,225600.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,"Korea, South",2019,843772,857438.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2016,22954978,22954978.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South",2018,408065,408065.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2011,3331908,3331908.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2015,584236,584236.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2016,1565921,1565921.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2015,286272,286272.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Japan,2014,33460837,33456917.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Japan,2015,34975095,34961563.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2014,1788805,1788805.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South",2016,57431934,57431934.0
2504 Natural Graphite,Taiwan,2020,6948,6948.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2014,35620759,35620759.0
2820 Manganese Oxides,Singapore,2012,251940,251940.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2017,1523395,1523395.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Hong Kong,2013,520522,520522.0
"3910 Silicones, In Primary Forms",Hong Kong,2015,11626,11626.0
"3910 Silicones, In Primary Forms",Vietnam,2020,486380,488300.0
2820 Manganese Oxides,"Korea, South",2016,6811382,6811382.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Laos,2017,23704,23704.0
"3910 Silicones, In Primary Forms",Indonesia,2015,3000,3000.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,2020,4314134,4912683.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Vietnam,2016,2122302,2122302.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Hong Kong,2014,130050,130050.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,"Korea, South",2011,1380878,1380878.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Hong Kong,2012,2292746,1680266.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2019,14762482,14762482.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2011,4051756,2483124.0
"3910 Silicones, In Primary Forms",Mongolia,2018,48941,48941.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South",2014,506395,506395.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2019,113533743,113533743.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,"Korea, South",2013,668833,668833.0
"3910 Silicones, In Primary Forms",Singapore,2018,3004,3004.0
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2013,529593,529593.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2017,10104480,10104480.0
"3910 Silicones, In Primary Forms",Vietnam,2011,14469,14469.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2015,1505120,1505120.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2017,729372,616284.0
2504 Natural Graphite,Japan,2019,1992601,1980885.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,2016,79200,79200.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2017,1515092,1515092.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2019,111765,111765.0
