Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US)
76 Aluminum And Articles Thereof,Macau,2010,93425,93425.0
74 Copper And Articles Thereof,"Korea, South",2008,147245544,147134407.0
74 Copper And Articles Thereof,"Korea, South",2007,136437570,136250369.0
76 Aluminum And Articles Thereof,"Korea, South",2009,59531490,58918401.0
80 Tin And Articles Thereof,Mongolia,2001,2164,
76 Aluminum And Articles Thereof,Taiwan,2005,91221310,90959452.0
80 Tin And Articles Thereof,Japan,2006,4671952,8476811.0
80 Tin And Articles Thereof,Philippines,2007,557976,557976.0
75 Nickel And Articles Thereof,Taiwan,2004,4092814,4092814.0
75 Nickel And Articles Thereof,"Korea, South",2007,541248,541248.0
75 Nickel And Articles Thereof,Indonesia,2010,40290,40290.0
80 Tin And Articles Thereof,Singapore,2008,15751102,15751102.0
74 Copper And Articles Thereof,Philippines,2002,1663579,1663579.0
74 Copper And Articles Thereof,Taiwan,2007,174784160,174804872.0
80 Tin And Articles Thereof,Singapore,2010,15861610,18213478.0
80 Tin And Articles Thereof,Malaysia,2002,4674968,1810172.0
74 Copper And Articles Thereof,Vietnam,2006,245507,245507.0
80 Tin And Articles Thereof,"Korea, South",2004,370355,370355.0
80 Tin And Articles Thereof,Indonesia,2004,39119896,37290825.0
80 Tin And Articles Thereof,Macau,2005,23972,23972.0
76 Aluminum And Articles Thereof,Malaysia,2004,52845466,52855897.0
74 Copper And Articles Thereof,"Korea, South",2003,43187855,43187855.0
74 Copper And Articles Thereof,Vietnam,2010,28491852,28491852.0
76 Aluminum And Articles Thereof,Hong Kong,2010,25154898,25131998.0
74 Copper And Articles Thereof,Cambodia,2003,4202,4202.0
76 Aluminum And Articles Thereof,Hong Kong,2002,30614412,30616129.0
76 Aluminum And Articles Thereof,Thailand,2003,116547555,116514702.0
74 Copper And Articles Thereof,Japan,2007,234394844,233002735.0
74 Copper And Articles Thereof,Indonesia,2010,12856684,12856684.0
76 Aluminum And Articles Thereof,Philippines,2001,2709006,
80 Tin And Articles Thereof,"Korea, South",2008,846548,846548.0
74 Copper And Articles Thereof,Philippines,2007,2668374,2668374.0
74 Copper And Articles Thereof,Vietnam,2008,1165406,1165406.0
80 Tin And Articles Thereof,Philippines,2001,2161335,
80 Tin And Articles Thereof,Japan,2008,6114764,6039645.0
75 Nickel And Articles Thereof,"Korea, South",2001,201154,
75 Nickel And Articles Thereof,Japan,2003,26104808,26236460.0
80 Tin And Articles Thereof,Thailand,2008,37426324,37426324.0
76 Aluminum And Articles Thereof,"Korea, South",2005,110161129,109890245.0
74 Copper And Articles Thereof,Thailand,2001,38163629,
75 Nickel And Articles Thereof,Taiwan,2005,3849154,3849154.0
80 Tin And Articles Thereof,Japan,2004,7886603,13893316.0
74 Copper And Articles Thereof,Thailand,2008,65837224,65810973.0
76 Aluminum And Articles Thereof,Vietnam,2004,2224382,2224382.0
80 Tin And Articles Thereof,Malaysia,2009,2714956,2714956.0
75 Nickel And Articles Thereof,Malaysia,2008,514191,514191.0
74 Copper And Articles Thereof,Philippines,2006,7206939,7206939.0
80 Tin And Articles Thereof,Taiwan,2003,5663633,5440030.0
76 Aluminum And Articles Thereof,Singapore,2008,24277860,24277860.0
80 Tin And Articles Thereof,Thailand,2009,956038,956038.0
80 Tin And Articles Thereof,Philippines,2004,1454040,1454040.0
75 Nickel And Articles Thereof,Hong Kong,2001,331892,
74 Copper And Articles Thereof,Philippines,2001,14507529,
80 Tin And Articles Thereof,Hong Kong,2001,3302405,
76 Aluminum And Articles Thereof,Thailand,2008,191943870,191943870.0
74 Copper And Articles Thereof,Vietnam,2007,166393,166393.0
76 Aluminum And Articles Thereof,Vietnam,2006,5614471,5614471.0
76 Aluminum And Articles Thereof,Malaysia,2009,18014589,18007059.0
76 Aluminum And Articles Thereof,Vietnam,2009,2244335,2244335.0
74 Copper And Articles Thereof,Singapore,2005,2444110,2444110.0
80 Tin And Articles Thereof,Indonesia,2008,30872360,30872360.0
76 Aluminum And Articles Thereof,Malaysia,2002,16590161,16508873.0
74 Copper And Articles Thereof,Laos,2001,20671,
74 Copper And Articles Thereof,Philippines,2004,1499055,1499055.0
75 Nickel And Articles Thereof,Japan,2005,33826800,33284499.0
74 Copper And Articles Thereof,Taiwan,2004,169463842,169646529.0
80 Tin And Articles Thereof,"Korea, South",2010,822288,822288.0
80 Tin And Articles Thereof,Singapore,2006,12342289,12342289.0
80 Tin And Articles Thereof,Thailand,2006,3247874,3247874.0
76 Aluminum And Articles Thereof,Thailand,2001,114463943,
74 Copper And Articles Thereof,Malaysia,2001,19395332,
76 Aluminum And Articles Thereof,Hong Kong,2009,18805072,18731235.0
75 Nickel And Articles Thereof,"Korea, South",2003,245362,245362.0
76 Aluminum And Articles Thereof,Macau,2003,101567,101567.0
76 Aluminum And Articles Thereof,Philippines,2004,3368107,3368107.0
80 Tin And Articles Thereof,Taiwan,2001,4876967,
80 Tin And Articles Thereof,Thailand,2010,34540096,31778133.0
80 Tin And Articles Thereof,Indonesia,2002,11645289,11645289.0
80 Tin And Articles Thereof,"Korea, South",2003,142862,142862.0
74 Copper And Articles Thereof,Indonesia,2006,11621339,11621339.0
74 Copper And Articles Thereof,Cambodia,2006,11000,11000.0
74 Copper And Articles Thereof,Indonesia,2002,4694735,4694735.0
74 Copper And Articles Thereof,Japan,2005,159708612,158033213.0
75 Nickel And Articles Thereof,Thailand,2009,442661,442661.0
76 Aluminum And Articles Thereof,Hong Kong,2001,46306445,
76 Aluminum And Articles Thereof,"Korea, South",2001,77144557,
74 Copper And Articles Thereof,Vietnam,2002,67518,67518.0
76 Aluminum And Articles Thereof,Indonesia,2001,42792916,
74 Copper And Articles Thereof,Indonesia,2009,11420995,11420995.0
80 Tin And Articles Thereof,Malaysia,2006,4095040,4095040.0
75 Nickel And Articles Thereof,Japan,2001,36019634,
80 Tin And Articles Thereof,Indonesia,2005,37364156,37364156.0
76 Aluminum And Articles Thereof,Hong Kong,2005,39236298,39263504.0
74 Copper And Articles Thereof,"Korea, South",2001,45622615,
76 Aluminum And Articles Thereof,Japan,2004,250147671,211216310.0
76 Aluminum And Articles Thereof,Japan,2005,257016912,223140288.0
75 Nickel And Articles Thereof,Malaysia,2005,3132,3132.0
80 Tin And Articles Thereof,Hong Kong,2009,1345835,1335137.0
75 Nickel And Articles Thereof,Singapore,2004,1130065,1130065.0
80 Tin And Articles Thereof,Thailand,2003,937573,937573.0
74 Copper And Articles Thereof,Malaysia,2010,97763043,97763043.0
74 Copper And Articles Thereof,Laos,2006,2800,2800.0
74 Copper And Articles Thereof,"Korea, South",2009,78287800,78175790.0
74 Copper And Articles Thereof,Japan,2010,152934243,151642954.0
75 Nickel And Articles Thereof,Taiwan,2007,9517713,9517713.0
80 Tin And Articles Thereof,Hong Kong,2005,1706053,1654747.0
80 Tin And Articles Thereof,Singapore,2009,5658733,5658733.0
76 Aluminum And Articles Thereof,Macau,2002,44640,44640.0
76 Aluminum And Articles Thereof,Vietnam,2010,10359914,10359914.0
74 Copper And Articles Thereof,Malaysia,2007,123052282,113421675.0
80 Tin And Articles Thereof,Japan,2010,10860326,10860326.0
74 Copper And Articles Thereof,Malaysia,2005,55517851,53446653.0
76 Aluminum And Articles Thereof,Taiwan,2007,97585140,96427120.0
75 Nickel And Articles Thereof,Singapore,2010,36680768,36680768.0
76 Aluminum And Articles Thereof,Singapore,2009,10890765,10890765.0
75 Nickel And Articles Thereof,Thailand,2001,85898,
76 Aluminum And Articles Thereof,Hong Kong,2004,29270419,29170445.0
75 Nickel And Articles Thereof,"Korea, South",2008,3216691,3216691.0
76 Aluminum And Articles Thereof,Indonesia,2010,184901104,184901104.0
74 Copper And Articles Thereof,Laos,2010,3995,3995.0
76 Aluminum And Articles Thereof,Indonesia,2003,32912698,32851778.0
80 Tin And Articles Thereof,Hong Kong,2004,1518645,1518645.0
75 Nickel And Articles Thereof,Indonesia,2008,382210,382210.0
75 Nickel And Articles Thereof,Japan,2002,33754878,33754878.0
74 Copper And Articles Thereof,Taiwan,2001,161707093,
75 Nickel And Articles Thereof,Japan,2009,43544666,43503727.0
80 Tin And Articles Thereof,Indonesia,2010,37935048,37935048.0
74 Copper And Articles Thereof,Japan,2006,230148699,229046332.0
76 Aluminum And Articles Thereof,Malaysia,2006,35126504,35126504.0
75 Nickel And Articles Thereof,Malaysia,2001,145191,
76 Aluminum And Articles Thereof,Taiwan,2002,66985366,66528378.0
74 Copper And Articles Thereof,Singapore,2004,2970590,2165593.0
75 Nickel And Articles Thereof,Hong Kong,2005,214930,214930.0
80 Tin And Articles Thereof,Taiwan,2010,1254031,1254031.0
76 Aluminum And Articles Thereof,Singapore,2001,3328233,
75 Nickel And Articles Thereof,Indonesia,2007,1605002,1605002.0
80 Tin And Articles Thereof,Hong Kong,2010,1098293,1098293.0
74 Copper And Articles Thereof,Cambodia,2008,7416,7416.0
76 Aluminum And Articles Thereof,Singapore,2002,2755196,2746209.0
75 Nickel And Articles Thereof,Malaysia,2010,2468496,2468496.0
80 Tin And Articles Thereof,Singapore,2007,26082892,26082892.0
76 Aluminum And Articles Thereof,"Korea, South",2004,80796525,80453959.0
75 Nickel And Articles Thereof,"Korea, South",2006,460937,460937.0
74 Copper And Articles Thereof,Macau,2004,2194,2194.0
74 Copper And Articles Thereof,Macau,2007,3440,3440.0
80 Tin And Articles Thereof,Vietnam,2010,4090217,4090217.0
80 Tin And Articles Thereof,Philippines,2003,1411799,1411799.0
74 Copper And Articles Thereof,Philippines,2009,1439437,1439437.0
80 Tin And Articles Thereof,Indonesia,2007,19256727,19256727.0
74 Copper And Articles Thereof,Thailand,2006,64003201,64003201.0
80 Tin And Articles Thereof,Japan,2002,309450,8142429.0
80 Tin And Articles Thereof,Malaysia,2005,16030277,16030277.0
74 Copper And Articles Thereof,Indonesia,2005,7023517,7023517.0
74 Copper And Articles Thereof,Macau,2003,9727,9727.0
80 Tin And Articles Thereof,Japan,2009,6474261,6474261.0
75 Nickel And Articles Thereof,"Korea, South",2005,1217443,1217443.0
80 Tin And Articles Thereof,Vietnam,2002,26810,26810.0
76 Aluminum And Articles Thereof,Cambodia,2007,168811,168811.0
76 Aluminum And Articles Thereof,Thailand,2007,169335413,169226413.0
80 Tin And Articles Thereof,Malaysia,2010,91380978,91380978.0
80 Tin And Articles Thereof,Malaysia,2001,4480760,
74 Copper And Articles Thereof,Malaysia,2009,41063942,41063942.0
74 Copper And Articles Thereof,Singapore,2010,8432609,8432609.0
76 Aluminum And Articles Thereof,Thailand,2010,195207176,194979582.0
74 Copper And Articles Thereof,Indonesia,2004,7362824,7362824.0
80 Tin And Articles Thereof,Taiwan,2006,3868099,3868099.0
80 Tin And Articles Thereof,Malaysia,2007,2193411,2193411.0
75 Nickel And Articles Thereof,Thailand,2004,21728,21728.0
75 Nickel And Articles Thereof,Malaysia,2007,679314,679314.0
76 Aluminum And Articles Thereof,Malaysia,2007,33583448,33583448.0
75 Nickel And Articles Thereof,Singapore,2009,3922697,3922697.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2002,17640,17640.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,2007,14603326,14603326.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2010,333600,333600.0
"3910 Silicones, In Primary Forms",Japan,2005,74440429,73740054.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Japan,2009,100894159,100898740.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2006,26308954,26308954.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,"Korea, South",2005,289315,289315.0
2504 Natural Graphite,Japan,2003,1932884,1932884.0
"3910 Silicones, In Primary Forms",Vietnam,2010,16385,16385.0
2504 Natural Graphite,Thailand,2007,3822,3822.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2003,75978,75978.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2001,429796,
