Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons)
"2801 Fluorine, Chlorine, Bromine & Iodine","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","17121371","17121371","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","16265","16265","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","1277642","1277642","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","135600","135600","","","",""
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","4633","4633","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","173924","173924","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","826808","826808","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","9063405","9063405","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","680706","680706","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","81343","81343","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","936195","936195","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","900","900","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","220469","220469","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","3974","3974","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","330919","330919","","","",""
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","803000","803000","","","",""
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","10982","10982","","","",""
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","158022","158022","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","4509281","2829911","","","",""
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","3840","3840","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","1093","1093","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","1334313","1334313","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","396258","","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","15061","15061","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","2434700","2434700","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","66305","66305","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","5752565","5752565","","","",""
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","1913316","1913316","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","4987408","4987408","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","121380","121380","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","17589","17589","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","792373","792373","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","315287","315287","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","50908","","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","57860","57860","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","31203","","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","30368","30368","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","2626","2626","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","493671","","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","1720152","","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","2009362","2009362","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","12043","12043","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","620000","","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","15784","15784","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","688186","688186","","","",""
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","6546","6546","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","40838","40838","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","1947965","1947965","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","79134","79134","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","622850","622850","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","166216","","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","189610","189610","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","413361","413361","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","19267","19267","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","176601","176601","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","151802","151802","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","5709","5709","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","2411158","2411158","","","",""
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","7043789","4301897","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","3363969","3238969","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","6180","6180","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","733668","733668","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","7036","7036","","","",""
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","12812","12812","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","241622","241622","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","13200","13200","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","28114","28114","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","2300","2300","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","76362","76362","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","470819","470819","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","3704844","3704844","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","12975657","12975657","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2003","21550","21550","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","1183180","1183180","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","89875","89875","","","",""
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","54877","54877","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","211014","211014","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","860567","860568","","","",""
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","92140","","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","764533","","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","3305489","3305489","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","3163862","3163862","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","2519","2519","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","4144968","4144968","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","269311","269311","","","",""
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","20462570","20462570","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","145943","145943","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","2494576","2494576","","","",""
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","1689990","1689990","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","221936","221936","","","",""
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","114102","114102","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","1053257","1053257","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","1547407","1547407","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","737744","737744","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","82025","82025","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","2092","2092","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","1596376","1596376","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","10108142","10108142","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","947728","947728","","","",""
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","46930","46930","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","0","0","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","273248","273248","","","",""
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","1172175","1172175","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","949780","949780","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","31693","31693","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","1558715","1558715","","","",""
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","6045","6045","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","1128","1128","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","11851","","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","4511036","","","","",""
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","2445086","","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2008","711284","711284","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","90243","90243","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2009","75554","75554","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2006","667263","667263","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2005","8539","8539","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","1330611","1330611","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","83756","83756","","","",""
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","5000","","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2001","6000","","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2010","50760","50760","","","",""
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2004","9907","9907","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2002","62177","62177","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2007","4536621","4536621","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2005","38950885","38950885","","","",""
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2010","43435716","43435716","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2010","617419384","617419384","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","439254296","441246655","","","",""
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2003","84916069","84571439","","","",""
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2005","3139029","3139029","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2003","530648555","530648555","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2004","153144089","147347579","","","",""
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2002","5608","5608","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2005","674027442","674027442","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2005","172625520","171959161","","","",""
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2008","25938359","25938359","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2002","296358498","290973834","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2002","121751802","121751802","","","",""
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2006","101984421","101984421","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2001","160445600","","","","",""
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2010","225135573","221707793","","","",""
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","16300100","184973","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2006","173602205","174292775","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","79071760","79071760","","","",""
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","28532765","28532765","","","",""
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","13488480","13488480","","","",""
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2001","27827","","","","",""
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","41275238","41275238","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2005","130400533","129898762","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2008","28807548","28894248","","","",""
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2001","195000","","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2002","111386462","107577303","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2008","1415078277","1415078277","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","1109942117","1109942117","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2002","608544790","608544790","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2004","43213055","43213055","","","",""
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","12813267","12813267","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2006","840079579","840079579","","","",""
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2005","7557358","7557358","","","",""
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2008","205179020","205179020","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2003","53839217","53839217","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2009","431958270","431958270","","","",""
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2006","49969526","49969526","","","",""
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2001","57972384","","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2010","211813767","211239601","","","",""
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2001","33702005","","","","",""
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2001","78524819","","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2009","84969412","79502404","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","25098375","24993696","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2005","80495467","80495467","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2004","63989004","63989005","","","",""
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","126012892","126012892","","","",""
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2006","9789048","9789048","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2006","628966093","626602374","","","",""
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2004","123626882","123626882","","","",""
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2009","22920956","22920956","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2002","5811258","5646258","","","",""
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2010","19065853","19065853","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","99406357","89374754","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2009","136584430","135980542","","","",""
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2003","15205824","15205824","","","",""
"2609 Tin Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2010","16943","16943","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","235438771","235438771","","","",""
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","38534890","38534890","","","",""
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2009","163974126","157067557","","","",""
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2001","16356779","","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2007","164300805","164300805","","","",""
