Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons)
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2004","424904","424904","","","",""
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2009","252898","252898","","","",""
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2001","34233188","","","","",""
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2001","9600","","","","",""
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2001","3014317","","","","",""
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","149102498","149069711","","","",""
"76 Aluminum And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2008","74873","74873","","","",""
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","128482323","127826990","","","",""
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2002","524041","524041","","","",""
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2007","143376","143376","","","",""
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","334932","","","","",""
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2009","17832946","17832946","","","",""
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2010","18138857","18133574","","","",""
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2010","56194275","56194275","","","",""
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2010","2545941","2051929","","","",""
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","6831745","6831745","","","",""
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","36660806","36660806","","","",""
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2007","4649175","4649175","","","",""
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2009","92457052","92397608","","","",""
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","13435345","13435345","","","",""
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2003","4443478","4443478","","","",""
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2003","43432","43432","","","",""
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2005","1552866","1552866","","","",""
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2005","43235408","43165865","","","",""
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2007","2496551","2496551","","","",""
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","158363458","157312178","","","",""
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2003","859560","859560","","","",""
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2006","108785788","99238342","","","",""
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2002","56234","56234","","","",""
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2009","2635280","2635280","","","",""
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2009","71173062","71030257","","","",""
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","90716696","90513728","","","",""
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2009","3780945","3780945","","","",""
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2005","79121868","79121868","","","",""
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","176500200","","","","",""
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","5061935","5055458","","","",""
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2010","73117","73117","","","",""
