Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,CategoryType
2604 Nickel Ores And Concentrates,Asia - South,2016,6921,6921.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,Asia - South,2012,2322,2322.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2023,21819,21819.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2021,86992,86992.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2016,5615,5615.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2002,3200,3200.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2025,2145,2145.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2015,14775,14775.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2013,3245,3245.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2020,349150,349150.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2008,30558,30558.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2012,13373,13373.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2003,84810,84810.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2019,58077,58077.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2015,122861,122861.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2022,101622,101622.0,2604,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2010,169800,169800.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2021,356450,356450.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2022,954846,954846.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2017,196240,196240.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2023,151300,151300.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2007,13488480,13488480.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2001,195000,,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2024,88900,88900.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2004,11095,11095.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2008,1357200,1357200.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2003,6991,6991.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2005,3139029,3139029.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2020,58500,58500.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2015,176763,176763.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2018,509275,509275.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2006,9789048,9789048.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2016,506272,506272.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2019,135222,135222.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2012,692673,692673.0,2605,Ore/Raw
2605 Cobalt Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2014,247149,247149.0,2605,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2006,7043789,4301897.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2008,1689990,1689990.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2009,54877,54877.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2004,1913316,1913316.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2010,158022,158022.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2005,20462570,20462570.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2007,41275238,41275238.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2025,19850,19850.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2024,48020094,48020094.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2001,19318948,,2606,Ore/Raw
